Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Season,W/L%
Daniel Theis,C,28,BOS,42,1027,159,288,0.552,33,95,0.347,126,193,0.653,0.609,46,67,0.687,54,166,220,67,25,43,41,120,397,15.3,0.625,0.33,0.233,5.8,18.2,12.0,9.2,1.2,3.9,11.4,15.0,1.8,1.0,2.8,0.132,-0.5,0.7,0.2,0.6,2021,0.5
Brodric Thomas,SG,24,CLE,11,114,12,38,0.316,5,20,0.25,7,18,0.389,0.382,14,17,0.824,2,9,11,12,6,5,6,10,43,11.1,0.473,0.526,0.447,1.8,9.0,5.3,15.0,2.6,3.9,11.7,19.5,0.0,0.1,0.1,0.04,-2.7,1.4,-1.3,0.0,2021,0.37
Matt Thomas,SG,26,TOR,27,199,24,65,0.369,17,43,0.395,7,22,0.318,0.5,6,7,0.857,4,18,22,9,2,0,9,10,71,6.7,0.521,0.662,0.108,2.2,10.3,6.1,6.5,0.5,0.0,11.7,16.7,-0.1,0.1,0.0,-0.008,-3.0,-3.0,-5.9,-0.2,2021,0.391
Tristan Thompson,PF,29,BOS,36,811,119,223,0.534,0,3,0.0,119,220,0.541,0.534,48,80,0.6,113,189,302,36,13,13,35,75,286,15.6,0.554,0.013,0.359,15.5,26.2,20.8,6.2,0.8,1.5,11.9,15.6,1.3,0.8,2.0,0.121,-0.6,-1.6,-2.3,-0.1,2021,0.5
Sindarius Thornwell,SG,26,NOP,14,73,7,21,0.333,3,9,0.333,4,12,0.333,0.405,0,2,0.0,1,4,5,4,5,1,4,3,17,4.6,0.388,0.429,0.095,1.5,6.1,3.8,6.9,3.3,1.3,15.5,15.1,-0.2,0.1,-0.1,-0.067,-6.1,0.1,-5.9,-0.1,2021,0.444
Matisse Thybulle,SG,23,PHI,43,817,61,150,0.407,28,92,0.304,33,58,0.569,0.5,8,14,0.571,22,56,78,43,66,42,17,91,158,10.1,0.506,0.613,0.093,3.1,7.3,5.2,6.7,3.9,4.5,9.8,9.0,0.2,1.7,1.9,0.111,-2.6,4.4,1.8,0.8,2021,0.696
Killian Tillie,C,22,MEM,5,37,3,15,0.2,2,9,0.222,1,6,0.167,0.267,2,3,0.667,3,3,6,1,2,3,1,5,10,4.9,0.306,0.6,0.2,8.4,9.0,8.7,3.4,2.6,7.6,5.8,19.7,-0.1,0.1,0.0,-0.056,-6.2,-1.0,-7.2,0.0,2021,0.488
Xavier Tillman Sr.,PF,22,MEM,33,619,90,173,0.52,10,37,0.27,80,136,0.588,0.549,21,29,0.724,43,94,137,48,28,18,27,72,211,13.8,0.568,0.214,0.168,7.2,16.8,11.8,10.5,2.2,2.7,12.7,14.4,0.6,0.9,1.5,0.115,-1.9,0.9,-1.0,0.2,2021,0.488
Obi Toppin,PF,22,NYK,36,423,61,127,0.48,14,48,0.292,47,79,0.595,0.535,11,15,0.733,16,63,79,17,10,11,19,36,147,11.0,0.55,0.378,0.118,4.1,16.0,10.0,6.0,1.2,2.5,12.5,15.9,0.1,0.6,0.6,0.073,-2.6,0.0,-2.6,-0.1,2021,0.522
Juan Toscano-Anderson,SG,27,GSW,31,590,64,115,0.557,21,48,0.438,43,67,0.642,0.648,13,18,0.722,18,109,127,71,21,15,32,63,162,12.1,0.659,0.417,0.157,3.2,19.4,11.4,16.2,1.7,2.3,20.7,11.2,0.6,0.8,1.4,0.116,-1.8,1.8,0.0,0.3,2021,0.478
Axel Toupane,G-F,28,MIL,3,37,2,6,0.333,0,1,0.0,2,5,0.4,0.333,0,0,0.0,0,3,3,2,0,3,0,3,4,4.3,0.333,0.167,0.0,0.0,8.3,4.2,6.2,0.0,7.2,0.0,6.8,0.0,0.0,0.0,0.024,-6.9,0.5,-6.4,0.0,2021,0.644
