Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Status,Season
Marcus Camby,C,27,29,1007,130,290,0.448,0,1,0.0,130,289,0.45,0.448,62,99,0.626,89,233,322,33,34,50,42,107,322,OOR,2002
Elden Campbell,PF,33,77,2156,384,794,0.484,0,2,0.0,384,792,0.485,0.484,306,384,0.797,133,397,530,102,60,137,138,264,1074,OOR,2002
Brian Cardinal,PF,24,8,43,6,13,0.462,3,7,0.429,3,6,0.5,0.577,2,2,1.0,2,4,6,2,1,0,0,5,17,OOR,2002
Anthony Carter,PG,26,46,1050,89,260,0.342,1,19,0.053,88,241,0.365,0.344,19,36,0.528,19,98,117,214,50,3,72,85,198,OOR,2002
Vince Carter,SG,25,60,2385,559,1307,0.428,121,313,0.387,438,994,0.441,0.474,245,307,0.798,138,175,313,239,94,43,154,191,1484,OOR,2002
Sam Cassell,PG,32,74,2605,554,1197,0.463,71,204,0.348,483,993,0.486,0.492,282,328,0.86,54,258,312,493,90,12,177,208,1461,OOR,2002
Kelvin Cato,C,27,75,1917,190,326,0.583,0,1,0.0,190,325,0.585,0.583,113,194,0.582,176,349,525,29,40,95,53,208,493,OOR,2002
Tyson Chandler,C,19,71,1389,151,304,0.497,0,0,0.0,151,304,0.497,0.497,134,222,0.604,114,229,343,54,28,93,99,179,436,OOR,2002
Calbert Cheaney,SG,30,68,1631,224,466,0.481,0,4,0.0,224,462,0.485,0.481,46,67,0.687,57,183,240,110,34,21,70,156,494,OOR,2002
Chris Childs,PG,34,69,1576,97,296,0.328,33,120,0.275,64,176,0.364,0.383,58,71,0.817,18,136,154,351,56,5,123,177,285,OOR,2002
Doug Christie,SG,31,81,2798,338,735,0.46,90,256,0.352,248,479,0.518,0.521,206,242,0.851,74,300,374,340,160,25,164,209,972,OOR,2002
Keon Clark,C,26,81,2185,380,775,0.49,0,5,0.0,380,770,0.494,0.49,155,230,0.674,182,421,603,88,58,122,140,258,915,OOR,2002
Speedy Claxton,PG,23,67,1528,181,452,0.4,4,33,0.121,177,419,0.422,0.405,114,136,0.838,46,114,160,198,95,6,95,145,480,OOR,2002
Mateen Cleaves,PG,24,32,153,30,68,0.441,2,8,0.25,28,60,0.467,0.456,8,9,0.889,1,7,8,25,7,0,27,9,70,OOR,2002
Derrick Coleman,PF,34,58,2080,331,735,0.45,28,83,0.337,303,652,0.465,0.469,185,227,0.815,167,342,509,98,42,51,119,158,875,OOR,2002
Bimbo Coles,PG,33,47,693,56,146,0.384,4,20,0.2,52,126,0.413,0.397,33,37,0.892,12,43,55,107,13,4,31,59,149,OOR,2002
Jason Collier,C,24,25,365,41,95,0.432,0,1,0.0,41,94,0.436,0.432,24,32,0.75,31,51,82,9,6,4,13,40,106,OOR,2002
Jarron Collins,C,23,70,1440,158,343,0.461,0,1,0.0,158,342,0.462,0.461,134,181,0.74,138,158,296,58,29,22,56,234,450,OOR,2002
