Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Miles Bridges,PF,22,CHO,50,1348,13.0,.618,.452,.180,5.0,18.1,11.5,10.5,1.2,2.6,16.2,15.5,,1.2,1.3,2.6,.091,,-0.8,-0.1,-1.0,0.4
Oshae Brissett,F,22,IND,2,5,21.7,.500,.500,.000,0.0,44.8,22.3,0.0,9.6,0.0,0.0,17.3,,0.0,0.0,0.0,.156,,-7.9,13.0,5.1,0.0
Malcolm Brogdon,PG,28,IND,44,1550,17.7,.565,.380,.162,2.6,12.5,7.5,25.8,1.4,0.5,10.2,25.6,,2.2,1.1,3.4,.104,,2.8,-1.3,1.5,1.4
Dillon Brooks,SF,25,MEM,46,1336,11.7,.509,.375,.177,2.8,7.8,5.3,12.0,2.0,1.2,10.5,26.0,,-0.6,1.4,0.8,.029,,-2.8,-1.2,-4.0,-0.7
Bruce Brown,PG,24,BRK,48,1047,15.2,.595,.141,.256,8.5,15.1,12.0,9.5,1.8,1.3,10.3,15.7,,1.9,1.0,2.9,.131,,-0.9,-0.2,-1.0,0.3
Jaylen Brown,SG,24,BOS,48,1621,20.3,.583,.360,.231,4.0,15.1,9.5,17.6,1.8,1.5,11.5,30.1,,2.5,1.6,4.1,.121,,3.8,-0.9,2.8,2.0
Moses Brown,C,21,OKC,22,440,19.6,.579,.000,.648,17.2,26.4,21.8,1.4,1.2,5.0,10.1,17.5,,0.8,0.7,1.5,.161,,-0.8,-1.6,-2.4,0.0
Sterling Brown,SG,25,HOU,49,1199,11.1,.589,.642,.095,3.2,16.8,9.8,8.6,1.5,0.9,10.0,13.5,,1.0,1.1,2.1,.082,,-1.8,-0.1,-1.8,0.1
Troy Brown Jr.,SF,21,TOT,26,377,7.4,.484,.491,.179,4.6,16.4,10.5,8.4,0.9,1.1,13.0,15.4,,-0.2,0.3,0.1,.010,,-3.7,-1.4,-5.1,-0.3
Troy Brown Jr.,SF,21,WAS,21,287,6.4,.471,.517,.169,4.0,18.6,11.2,8.8,0.5,1.2,14.3,16.2,,-0.3,0.2,-0.1,-0.017,,-3.7,-2.0,-5.7,-0.3
Troy Brown Jr.,SF,21,CHI,5,90,10.8,.536,.391,.217,6.3,9.7,8.0,7.2,2.1,1.0,7.4,13.0,,0.1,0.1,0.2,.095,,-3.5,0.5,-3.1,0.0
Jalen Brunson,PG,24,DAL,46,1173,17.6,.643,.341,.292,1.6,13.2,7.6,20.1,1.1,0.0,11.4,20.0,,2.9,0.8,3.8,.153,,1.5,-0.7,0.8,0.8
Thomas Bryant,C,23,WAS,10,271,18.8,.704,.231,.264,7.0,16.9,11.9,8.5,0.7,2.5,9.8,17.3,,0.7,0.2,0.9,.164,,2.1,-1.7,0.4,0.2
Reggie Bullock,SF,29,NYK,45,1251,10.2,.581,.684,.094,0.9,12.1,6.5,7.1,1.3,0.6,7.8,14.4,,1.0,1.5,2.5,.098,,-1.4,0.5,-0.8,0.4
Trey Burke,PG,28,DAL,47,682,13.3,.566,.490,.156,0.8,5.8,3.4,13.9,1.8,0.4,8.0,19.5,,0.8,0.5,1.2,.087,,-0.7,-0.5,-1.2,0.1
Alec Burks,SG,29,NYK,40,1037,14.8,.564,.486,.243,2.0,16.5,9.3,13.4,1.4,1.0,8.2,20.7,,1.3,1.4,2.8,.128,,0.6,0.4,1.0,0.8
Jimmy Butler,SF,31,MIA,36,1213,26.1,.595,.134,.541,6.9,17.3,12.3,36.8,2.9,1.1,10.6,26.8,,4.3,2.0,6.3,.249,,4.8,2.6,7.4,2.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruno Caboclo,PF,25,HOU,6,36,9.2,.475,.294,.118,8.5,33.9,20.7,4.8,0.0,5.0,18.3,26.0,,-0.1,0.0,-0.1,-0.076,,-8.5,-2.1,-10.6,-0.1
Devontae Cacok,PF,24,LAL,13,71,22.3,.609,.000,.292,16.0,24.5,20.4,2.2,3.4,3.7,10.0,18.4,,0.1,0.2,0.3,.210,,0.6,2.0,2.5,0.1
Kentavious Caldwell-Pope,SG,27,LAL,47,1247,9.1,.567,.552,.226,1.9,8.9,5.5,7.8,1.4,0.9,12.5,13.9,,0.5,1.8,2.3,.089,,-2.4,0.1,-2.3,-0.1
Facundo Campazzo,PG,29,DEN,45,819,9.7,.526,.696,.228,1.7,7.5,4.6,18.7,2.7,1.1,17.9,13.2,,0.5,0.8,1.3,.076,,-2.9,0.4,-2.6,-0.1
Vlatko Čančar,PF,23,DEN,27,155,8.4,.531,.514,.171,3.7,17.4,10.6,6.4,2.6,1.2,21.0,13.4,,-0.1,0.2,0.1,.033,,-3.7,0.8,-2.9,0.0
Devin Cannady,G,24,ORL,1,2,20.4,.347,1.000,1.000,0.0,0.0,0.0,0.0,24.4,0.0,0.0,62.2,,0.0,0.0,0.0,-0.012,,-24.6,23.1,-1.5,0.0
Clint Capela,C,26,ATL,45,1338,24.8,.601,.000,.313,18.0,33.8,26.0,4.4,1.2,6.8,9.0,20.1,,3.4,2.4,5.8,.208,,2.6,0.1,2.8,1.6
Vernon Carey Jr.,C,19,CHO,9,30,5.5,.363,.500,.333,7.2,25.5,16.3,4.3,0.0,6.7,22.5,12.7,,-0.1,0.0,0.0,-0.046,,-5.3,-1.5,-6.8,0.0
