Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,First,Share,Status,Season,W/L%
Chuck Person,SF,34,CHH,50,990,112,289,0.388,55,157,0.35,57,132,0.432,0.483,24,32,0.75,17,115,132,60,20,8,41,90,303,9.6,0.5,0.543,0.111,2.1,13.1,7.9,10.5,1.1,0.6,11.9,16.5,0.2,0.7,0.9,0.043,-1.0,-0.9,-2.0,0.0,0,0.0,OOR,1999,0.52
Wesley Person,SG,27,CLE,45,1342,198,437,0.453,75,200,0.375,123,237,0.519,0.539,32,53,0.604,19,123,142,80,37,16,41,52,503,14.4,0.546,0.458,0.121,1.8,11.6,6.7,11.9,1.5,1.0,8.2,18.2,1.6,1.0,2.6,0.094,2.3,-0.3,1.9,1.3,0,0.0,OOR,1999,0.44
Bobby Phills,SG,29,CHH,43,1574,215,497,0.433,68,172,0.395,147,325,0.452,0.501,115,168,0.685,39,135,174,149,60,25,92,124,613,14.4,0.537,0.346,0.338,3.1,9.7,6.5,17.2,2.0,1.1,13.9,20.0,1.7,1.3,3.0,0.091,1.0,-0.1,0.9,1.2,0,0.0,OOR,1999,0.52
Eric Piatkowski,SG,28,LAC,49,1242,180,417,0.432,65,165,0.394,115,252,0.456,0.51,88,102,0.863,39,101,140,53,44,6,53,86,513,15.3,0.555,0.396,0.245,3.5,10.2,6.7,7.6,1.9,0.4,10.3,18.8,2.5,-0.2,2.3,0.091,1.8,-1.5,0.3,0.7,0,0.0,OOR,1999,0.18
Paul Pierce,SF,21,BOS,48,1632,284,647,0.439,84,204,0.412,200,443,0.451,0.504,139,195,0.713,117,192,309,115,82,50,113,139,791,19.2,0.54,0.315,0.301,7.8,13.6,10.6,12.3,2.6,2.2,13.4,23.1,2.9,2.0,4.9,0.144,3.4,0.3,3.7,2.3,0,0.0,OOR,1999,0.38
Scottie Pippen,SF,33,HOU,50,2011,261,604,0.432,72,212,0.34,189,392,0.482,0.492,132,183,0.721,63,260,323,293,98,37,159,118,726,16.8,0.53,0.351,0.303,3.9,14.2,9.4,24.4,2.6,1.3,18.8,19.7,2.5,2.3,4.9,0.116,1.4,1.1,2.5,2.3,0,0.0,OOR,1999,0.62
Scot Pollard,C,23,SAC,16,259,33,61,0.541,0,0,0.0,33,61,0.541,0.541,16,23,0.696,38,44,82,4,8,18,5,41,82,18.0,0.576,0.0,0.377,15.5,17.8,16.7,2.3,1.5,4.4,6.6,12.5,0.7,0.3,1.1,0.2,0.1,0.8,1.0,0.2,0,0.0,OOR,1999,0.54
Olden Polynice,C,34,SEA,48,1481,169,358,0.472,1,1,1.0,168,357,0.471,0.473,29,94,0.309,184,241,425,43,20,30,49,150,368,11.8,0.461,0.003,0.263,14.2,19.0,16.6,4.7,0.7,1.5,10.9,13.7,1.3,0.7,2.0,0.065,-1.4,-2.3,-3.7,-0.6,0,0.0,OOR,1999,0.5
Mark Pope,SF,26,IND,4,26,1,7,0.143,0,4,0.0,1,3,0.333,0.143,0,1,0.0,2,2,4,0,0,0,1,6,2,-8.5,0.134,0.571,0.143,9.3,9.0,9.1,0.0,0.0,0.0,11.8,15.5,-0.1,0.0,-0.1,-0.23,-13.4,-5.7,-19.2,-0.1,0,0.0,OOR,1999,0.66
Terry Porter,PG,35,MIA,50,1365,172,370,0.465,58,141,0.411,114,229,0.498,0.543,123,148,0.831,13,127,140,146,48,11,74,97,525,16.9,0.603,0.381,0.4,1.2,10.5,6.2,19.6,2.0,0.6,14.5,18.4,3.3,1.7,5.0,0.178,1.9,0.9,2.9,1.7,0,0.0,OOR,1999,0.66
Vitaly Potapenko,C,23,BOS,50,1394,204,412,0.495,0,1,0.0,204,411,0.496,0.495,91,155,0.587,114,218,332,75,35,36,100,169,499,13.6,0.52,0.002,0.376,9.3,18.6,13.9,9.4,1.3,2.0,17.2,19.1,0.7,1.5,2.2,0.076,-1.6,-0.4,-2.0,0.0,0,0.0,OOR,1999,0.38
Brent Price,PG,30,HOU,40,806,100,207,0.483,46,112,0.411,54,95,0.568,0.594,46,61,0.754,18,60,78,113,33,1,65,90,292,15.0,0.624,0.541,0.295,2.8,8.2,5.7,23.3,2.2,0.1,21.8,17.4,1.6,0.5,2.2,0.128,0.4,-0.1,0.3,0.5,0,0.0,OOR,1999,0.62
Theo Ratliff,PF,25,PHI,50,1627,197,419,0.47,0,0,0.0,197,419,0.47,0.47,166,229,0.725,139,268,407,30,45,149,92,180,560,16.9,0.539,0.0,0.547,9.7,19.6,14.5,3.3,1.5,7.3,15.0,17.1,2.1,3.3,5.4,0.159,-0.7,2.0,1.3,1.4,0,0.0,OOR,1999,0.56
Eldridge Recasner,PG,31,CHH,44,708,82,184,0.446,24,60,0.4,58,124,0.468,0.511,34,39,0.872,20,57,77,91,17,1,58,66,222,11.1,0.552,0.326,0.212,3.5,9.1,6.4,22.5,1.3,0.1,22.4,17.4,0.4,0.4,0.8,0.052,-1.3,-1.5,-2.8,-0.1,0,0.0,OOR,1999,0.52
Bryant Reeves,C,25,VAN,25,702,102,251,0.406,0,1,0.0,102,250,0.408,0.406,67,116,0.578,50,88,138,37,13,8,47,103,271,10.4,0.449,0.004,0.462,8.2,15.0,11.6,10.0,1.0,0.9,13.5,22.8,-0.2,0.1,-0.1,-0.01,-4.0,-2.3,-6.3,-0.8,0,0.0,OOR,1999,0.16
Khalid Reeves,PG,26,DET,11,112,8,21,0.381,1,3,0.333,7,18,0.389,0.405,8,14,0.571,3,4,7,11,4,0,7,13,25,6.8,0.46,0.143,0.667,3.3,4.4,3.8,15.9,2.0,0.0,20.5,14.5,0.0,0.1,0.1,0.025,-4.8,-1.0,-5.8,-0.1,0,0.0,OOR,1999,0.58
Don Reid,PF,25,DET,47,935,97,174,0.557,0,0,0.0,97,174,0.557,0.557,48,79,0.608,66,104,170,33,27,43,36,156,242,12.5,0.58,0.0,0.454,8.6,13.7,11.1,6.0,1.6,3.7,14.7,12.4,1.4,1.3,2.7,0.139,-1.9,1.4,-0.5,0.4,0,0.0,OOR,1999,0.58
J.R. Reid,PF,30,LAL,41,1029,132,277,0.477,0,1,0.0,132,276,0.478,0.477,105,137,0.766,45,167,212,48,37,10,51,135,369,13.7,0.547,0.004,0.495,5.3,18.4,12.1,7.9,1.9,0.7,13.1,17.5,1.4,1.1,2.5,0.115,-1.2,0.3,-0.9,0.3,0,0.0,OOR,1999,0.62
Shawn Respert,SG,26,PHO,12,99,13,36,0.361,4,13,0.308,9,23,0.391,0.417,7,10,0.7,2,11,13,8,5,0,5,10,37,11.4,0.458,0.361,0.278,2.3,13.2,7.7,13.2,2.7,0.0,11.0,21.2,0.0,0.1,0.1,0.046,-2.4,0.6,-1.8,0.0,0,0.0,OOR,1999,0.54
Rodrick Rhodes,SG-SF,25,VAN,13,156,13,52,0.25,1,7,0.143,12,45,0.267,0.26,16,25,0.64,9,8,17,11,5,2,20,21,43,0.7,0.341,0.135,0.481,6.8,6.0,6.4,11.9,1.7,1.0,24.1,24.5,-0.7,0.0,-0.7,-0.201,-8.2,-3.2,-11.4,-0.4,0,0.0,OOR,1999,0.16
